# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag	
hun	aalabyss	en-AU	
arb	abokku	en-AU	
ab	abusoru	en-AU	
sam	admurai	en-AU	
arch	aeropteryx	en-AU	
hm	aflamanoir	en-AU	
gold	akwakwak	en-AU	
9	alola-form 	en-AU	
qq	alolan 	en-AU	
am	amagara	en-AU	
arm	amarudo	en-AU	
ncc	amassel	en-AU	
oma	amonistar	en-AU	
om	amonitas	en-AU	
fg	amphizel	en-AU	
bl	ampibidou	en-AU	
grim	angoliath	en-AU	
ano	anopth	en-AU	
cm	apitrini	en-AU	
jel	apoquallyp	en-AU	
dt	arboretoss	en-AU	
god	arceus 	en-AU	
bro	archéomire	en-AU	
ava	arktilas	en-AU	
art	artikodin	en-AU	
up	axoloto	en-AU	
aze	azelf	en-AU	
sb	bacabouh	en-AU	
thw	badabouin	en-AU	
scr	baggiguane	en-AU	
qa	bailonda	en-AU	
cam	bakuuda	en-AU	
cti	balbaleze	en-AU	
qw	baldorfish	en-AU	
sp	baneboo	en-AU	
gou	banshitrouye	en-AU	
barr	barrakiefa	en-AU	
bas	barschuft	en-AU	
fe	barschwa	en-AU	
dri	baudrive	en-AU	
tou	bazoucan	en-AU	
pel	bekipan	en-AU	
ark	bergmite	en-AU	
sle	betbeter	en-AU	
vo	biriridama	en-AU	
blac	blacephalon	en-AU	
coo	bleuseille	en-AU	
cas	blindalys	en-AU	
flo	bojelin	en-AU	
abu	bombydou	en-AU	
fla	booster	en-AU	
agg	bossgodora	en-AU	
tang	bouldeneu	en-AU	
baku	boumata	en-AU	
muds	bourrinos	en-AU	
fff	braisillon	en-AU	
sei	branawarz	en-AU	
ches	brigaron	en-AU	
row	brindibou	en-AU	
dcb	briochien	en-AU	
pinc	britzigel	en-AU	
gig	brockoloss	en-AU	
sct	brullschweif	en-AU	
sal	brutalanda	en-AU	
mgm	buba	en-AU	
spo	bubungus	en-AU	
b	buby	en-AU	
bu	bulu	en-AU	
sl	bummelz	en-AU	
bui	buoysel	en-AU	
wor	burmadame	en-AU	
blaz	bursyamo	en-AU	
buz	buzzwole	en-AU	
skd	cabriolaine	en-AU	
deli	cadoizo	en-AU	
mala	calamanero	en-AU	
cal	calyrex	en-AU	
wi	camome	en-AU	
frf	canarticho 	en-AU	
cn	caninos	en-AU	
amb	capidextre	en-AU	
ai	capumain	en-AU	
war	carabaffe	en-AU	
lau	carabing	en-AU	
ggg	carchacrok	en-AU	
amg	carmadura	en-AU	
aa	casey	en-AU	
bib	castorno	en-AU	
esc	cavalanzas	en-AU	
cel	celebi	en-AU	
cele	celesteela	en-AU	
sco	cerapendra	en-AU	
wyr	cerbyllin	en-AU	
ch	ceriflor	en-AU	
pur	chacripan	en-AU	
num	chamallot	en-AU	
bre	chapignon	en-AU	
cha	charbambin	en-AU	
medi	charem	en-AU	
cu	charibari	en-AU	
trt	chelterrar	en-AU	
rau	chenipan	en-AU	
wu	chenipotte	en-AU	
ki	cherinbo	en-AU	
gog	chevrumm	en-AU	
chy	chi-yu	en-AU	
chik	chicorita	en-AU	
chp	chien-pao	en-AU	
cpp	chilingel	en-AU	
cnc	chillaccino	en-AU	
mon	chimpenfeu	en-AU	
min	chinchidou	en-AU	
pet	chlorobule	en-AU	
fue	chochodile	en-AU	
lam	chonchie	en-AU	
oo	choreogel	en-AU	
woo	chovsourir	en-AU	
ak	chrysapile	en-AU	
gn	chuchmur 	en-AU	
ha	cizayox	en-AU	
kkk	cliticlic	en-AU	
pil	cochignon	en-AU	
kak	coconfort	en-AU	
qx	coiffeton	en-AU	
cra	colhomard	en-AU	
sli	colimucus	en-AU	
tq	colombeau	en-AU	
palo	colossand	en-AU	
pri	colossinge	en-AU	
tnd	compagnol	en-AU	
guf	concombaffe	en-AU	
pe	coquiperl	en-AU	
cooo	corvaillus	en-AU	
cosm	cosmoem	en-AU	
cos	cosmog	en-AU	
tor	cotoise	en-AU	
fur	couafarel	en-AU	
aw	coupenotte	en-AU	
ann	courrousinge	en-AU	
ku	couverdure	en-AU	
kx	crabagarre	en-AU	
cru	crabaraque	en-AU	
db	crabicoque	en-AU	
kw	crabominable	en-AU	
kf	craparoi	en-AU	
cre	crecelia	en-AU	
dru	crimgan	en-AU	
crl	crocalor	en-AU	
aj	croquine	en-AU	
clo	crustabri	en-AU	
acb	cryospino 	en-AU	
slu	cupcanaille	en-AU	
cff	curelei	en-AU	
stan	damhirplex	en-AU	
spea	dardargnan	en-AU	
dar	darkrai	en-AU	
daru	darumarond	en-AU	
tyr	debugant	en-AU	
ded	dedenne	en-AU	
vz	delestin	en-AU	
pf	delfinator	en-AU	
dx	delphox	en-AU	
bru	denticrisse	en-AU	
deo	deoxys	en-AU	
